title,provider,cost_type,url,skills_covered
AWS Certified Solutions Architect - Associate,Amazon Web Services,Paid,https://aws.amazon.com/certification/certified-solutions-architect-associate/,"AWS, Cloud Computing, Architecture, Security"
Google Cloud Professional Cloud Architect,Google Cloud,Paid,https://cloud.google.com/learn/certification/cloud-architect,"GCP, Cloud Architecture, Kubernetes, Networking"
Microsoft Certified: Azure Fundamentals,Microsoft,Paid,https://learn.microsoft.com/en-us/credentials/certifications/azure-fundamentals/,"Azure, Cloud Fundamentals, Security"
Meta Front-End Developer Professional Certificate,Meta / Coursera,Paid,https://www.coursera.org/professional-certificates/meta-front-end-developer,"React, JavaScript, HTML, CSS, UI/UX"
IBM Data Science Professional Certificate,IBM / Coursera,Paid,https://www.coursera.org/professional-certificates/ibm-data-science,"Python, Data Analysis, Machine Learning, SQL"
FreeCodeCamp Responsive Web Design,FreeCodeCamp,Free,https://www.freecodecamp.org/learn/responsive-web-design/,"HTML, CSS, Responsive Design, Flexbox"
FreeCodeCamp Machine Learning with Python,FreeCodeCamp,Free,https://www.freecodecamp.org/learn/machine-learning-with-python/,"Python, Machine Learning, Tensorflow, Data Science"
Cisco Certified Network Associate (CCNA),Cisco,Paid,https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/ccna.html,"Networking, Security, Routing, Switching"
"CS50's Introduction to Computer Science",Harvard / edX,Free,https://pll.harvard.edu/course/cs50-introduction-computer-science,"C, Python, SQL, Computer Science Basics"
Certified Information Systems Security Professional (CISSP),ISC2,Paid,https://www.isc2.org/Certifications/CISSP,"Cybersecurity, Risk Management, Network Security"
HashiCorp Certified: Terraform Associate,HashiCorp,Paid,https://www.hashicorp.com/certification/terraform-associate,"Terraform, IaC, Cloud Provisioning"
Certified Kubernetes Administrator (CKA),CNCF,Paid,https://training.linuxfoundation.org/certification/certified-kubernetes-administrator-cka/,"Kubernetes, Containers, DevOps"
ScrumMaster Certification (CSM),Scrum Alliance,Paid,https://www.scrumalliance.org/get-certified/scrum-master-track/certified-scrummaster,"Agile, Scrum, Project Management"
Android Basics with Compose,Google,Free,https://developer.android.com/courses/android-basics-compose/course,"Android, Kotlin, Jetpack Compose"
UX Design Professional Certificate,Google / Coursera,Paid,https://www.coursera.org/professional-certificates/google-ux-design,"UX, Figma, Wireframing, User Research"
AWS Certified Developer - Associate,Amazon Web Services,Paid,https://aws.amazon.com/certification/certified-developer-associate/,"AWS, Cloud Development, Deployment, Serverless"
AWS Certified SysOps Administrator - Associate,Amazon Web Services,Paid,https://aws.amazon.com/certification/certified-sysops-admin-associate/,"AWS, Operations, Management, Security"
Google Cloud Professional Data Engineer,Google Cloud,Paid,https://cloud.google.com/learn/certification/data-engineer,"GCP, Data Engineering, Big Data, Machine Learning"
"Microsoft Certified: Dynamics 365 Fundamentals",Microsoft,Paid,https://learn.microsoft.com/en-us/credentials/certifications/d365-fundamentals-crm/,"Microsoft Dynamics, CRM, ERP, Cloud Business"
"Microsoft Certified: Security, Compliance, and Identity Fundamentals",Microsoft,Paid,https://learn.microsoft.com/en-us/credentials/certifications/security-compliance-and-identity-fundamentals/,"Security, Compliance, Identity, Azure"
CompTIA Security+,CompTIA,Paid,https://www.comptia.org/certifications/security,"Cybersecurity, Network Security, Risk Management"
CompTIA Network+,CompTIA,Paid,https://www.comptia.org/certifications/network,"Networking, Network Infrastructure, Troubleshooting"
Certified Ethical Hacker (CEH),EC-Council,Paid,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/,"Ethical Hacking, Penetration Testing, Cybersecurity"
Project Management Professional (PMP),PMI,Paid,https://www.pmi.org/certifications/project-management-pmp,"Project Management, Agile, Leadership"
Agile Certified Practitioner (PMI-ACP),PMI,Paid,https://www.pmi.org/certifications/agile-acp,"Agile, Scrum, Kanban, Lean"
Certified Information Security Manager (CISM),ISACA,Paid,https://www.isaca.org/credentialing/cism,"Information Security Management, Risk Management"
Certified in Risk and Information Systems Control (CRISC),ISACA,Paid,https://www.isaca.org/credentialing/crisc,"IT Risk Management, Information Systems Control"
ITIL 4 Foundation Certification,Axelos,Paid,https://www.axelos.com/certifications/itil-service-management/itil-4-foundation,"IT Service Management, ITIL framework"
"Oracle Certified Professional: Java SE 11 Developer",Oracle,Paid,https://education.oracle.com/oracle-certified-professional-java-se-11-developer/trackp_OCPJSE11Prog,"Java, Object-Oriented Programming, SE 11"
Salesforce Certified Administrator,Salesforce,Paid,https://trailhead.salesforce.com/en/credentials/administrator,"Salesforce, CRM, User Management"
Tableau Desktop Specialist,Tableau,Paid,https://www.tableau.com/learn/certification/desktop-specialist,"Tableau, Data Visualization, Analytics"
